,origin,destination
1247,2875102,52303005
1248,84880210,198948373
1249,2879270,14104547
1250,18989842,3716194
1251,4508104,2877021
1252,84885702,73621999
1253,2874910,10439391
1254,215154863,2872653
1255,2871678,16063003
1256,159647,2876862
1257,164943220,133816841
1258,9282075,2879848
1259,18989559,18833597
1260,62089532,118865242
1261,123623002,137329351
1262,122553687,118865242
1263,9392812,123620170
1264,9628224,2878623
1265,18981111,19911224
1266,10419675,18988104
1267,330600,2878623
1268,2871678,14228756
1269,28526373,2878623
1270,116985749,11792149
1271,2876274,8435531
1272,119121774,118866952
1273,84886782,16607416
1274,103146179,94551461
1275,27838508,2870252
1276,18989559,119959378
1277,35711144,2876862
1278,94552965,88119325
1279,13438268,2876862
1280,18980811,15298306
1281,2878772,17014476
1282,2874456,6276698
1283,77383349,2874048
1284,22962090,84886121
1285,59450432,18988104
1286,215171208,2878408
1287,18989187,191700820
1288,215180757,2871844
1289,54494691,118865242
1290,22889130,2878623
1291,123622228,55873176
1292,123625612,55593621
1293,201283379,2871678
1294,199665542,54818904
1295,2870542,3398010
1296,168931280,2874205
1297,18988104,56369081
1298,2874048,77383349
1299,2879848,62820781
1300,199664249,210896317
1301,118865242,60536483
1302,2876862,2793377
1303,2877021,212718568
1304,7584242,2871844
1305,2879848,16680286
1306,7444545,18981201
1307,17079197,2871678
1308,18989187,5080979
1309,2871678,18108179
1310,103289532,2870829
1311,5574402,84886311
1312,18981201,3824063
1313,84888927,22480163
1314,27128630,123624419
1315,7590511,94550757
1316,2871678,9538922
1317,18989559,53032049
1318,67814407,84885702
1319,94552965,59142566
1320,44220726,118865242
1321,8456620,2871678
1322,94550656,59437318
1323,19069065,2870252
1324,81774033,2874205
1325,28197944,2877363
1326,44237829,123625612
1327,207598220,2878623
1328,17890671,118865242
1329,2871295,676918
1330,214163626,2870859
1331,18991474,118865242
1332,18988104,10419675
1333,6045441,2871678
1334,11769552,2878623
1335,84880210,82823645
1336,2877363,14014714
1337,2870252,19033648
1338,16929752,18981201
1339,36068993,18985384
1340,199100813,84881740
1341,539681,2878623
1342,2877363,11710032
1343,2878623,31440087
1344,118865242,54825538
1345,2878623,36773015
1346,123624419,6157782
1347,118869865,58652302
1348,4419369,123624419
1349,3305693,118869865
1350,92155070,84885702
1351,24420044,2871678
1352,32602532,2871678
1353,164943220,211137609
1354,59523804,18980380
1355,18980463,4306020
1356,2874910,14079377
1357,53059073,118869512
1358,8741144,2871844
1359,15045829,18980811
1360,2871678,54474264
1361,6084824,18980380
1362,41567621,123623002
